api_uri,contact_form,crp_id,cspan_id,district,domain,dw_nominate,facebook_account,fax,first_name,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,state,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account
https://api.propublica.org/congress/v1/members/A000055.json,,N00003028,45516,4,aderholt.house.gov,,RobertAderholt,202-225-5587,Robert,/m/024p03,400004,29701,A000055,,true,Aderholt,,B.,5,1.93,2018,ocd-division/country:us/state:al/cd:4,235 Cannon House Office Building,R,202-225-4876,https://aderholt.house.gov/rss.xml,22,AL,0,259,Robert_Aderholt,https://aderholt.house.gov,97.64,441,RobertAderholt
https://api.propublica.org/congress/v1/members/A000367.json,,N00031938,1033767,3,amash.house.gov,,repjustinamash,202-225-5144,Justin,/m/0c00p_n,412438,21143,A000367,,true,Amash,,,1,0.39,2018,ocd-division/country:us/state:mi/cd:3,114 Cannon House Office Building,R,202-225-3831,http://amash.house.gov/rss.xml,8,MI,0,259,,http://amash.house.gov,81.78,105566,repjustinamash
https://api.propublica.org/congress/v1/members/A000369.json,,N00031177,62817,2,amodei.house.gov,,MarkAmodeiNV2,202-225-5679,Mark,/m/03bzdkn,412500,21196,A000369,,true,Amodei,,,11,4.25,2018,ocd-division/country:us/state:nv/cd:2,332 Cannon House Office Building,R,202-225-6155,https://amodei.house.gov/rss/news-releases.xml,8,NV,1,259,MarkAmodeiNV2,https://amodei.house.gov,97.18,12537,markamodeinv2
https://api.propublica.org/congress/v1/members/A000370.json,,N00035451,76386,12,,,CongresswomanAdams,202-225-1512,Alma,/m/02b45d,412607,21545,A000370,,true,Adams,,,1,0.39,2018,ocd-division/country:us/state:nc/cd:12,222 Cannon House Office Building,D,202-225-1510,http://adams.house.gov/rss.xml,6,NC,0,259,RepAdams,http://adams.house.gov,96.12,5935,
https://api.propublica.org/congress/v1/members/A000371.json,,N00033997,79994,31,,,reppeteaguilar,202-226-6962,Pete,/m/0jwv0xf,412615,21506,A000371,,true,Aguilar,,,0,0.00,2018,ocd-division/country:us/state:ca/cd:31,1223 Longworth House Office Building,D,202-225-3201,https://aguilar.house.gov/rss.xml,4,CA,0,259,reppeteaguilar,https://aguilar.house.gov,93.44,70114,
https://api.propublica.org/congress/v1/members/A000372.json,,N00033720,62545,12,allen.house.gov,,CongressmanRickAllen,202-225-3377,Rick,/m/047bdf,412625,21516,A000372,,true,Allen,,,2,0.77,2018,ocd-division/country:us/state:ga/cd:12,426 Cannon House Office Building,R,202-225-2823,,4,GA,0,259,reprickallen,http://allen.house.gov,97.67,136062,
https://api.propublica.org/congress/v1/members/A000374.json,,N00036633,76236,5,,,CongressmanRalphAbraham,202-225-5639,Ralph,/m/012dwd7_,412630,21522,A000374,,true,Abraham,,,2,0.77,2018,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,R,202-225-8490,https://abraham.house.gov/rss.xml,4,LA,0,259,RepAbraham,https://abraham.house.gov,97.28,155414,
https://api.propublica.org/congress/v1/members/A000375.json,,N00038285,1016482,19,arrington.house.gov,,JodeyArrington,,Jodey,/m/0g9_f_1,412726,,A000375,,true,Arrington,,,1,0.39,2018,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,R,202-225-4005,https://arrington.house.gov/rss.xml,2,TX,0,259,RepArrington,https://arrington.house.gov,97.67,155685,
https://api.propublica.org/congress/v1/members/B000213.json,,N00005656,5248,6,joebarton.house.gov,,RepJoeBarton,202-225-3052,Joe,/m/03rspq,400018,15085,B000213,,true,Barton,,L.,10,3.86,2018,ocd-division/country:us/state:tx/cd:6,2107 Rayburn House Office Building,R,202-225-2002,,34,TX,0,259,RepJoeBarton,https://joebarton.house.gov,97.19,27082,repjoebarton
https://api.propublica.org/congress/v1/members/B000287.json,,,26567,34,becerra.house.gov,,XavierBecerra,,Xavier,/m/024trk,400021,29316,B000287,,false,Becerra,,,42,68.85,2018,ocd-division/country:us/state:ca/cd:34,,D,202-225-6235,https://becerra.house.gov/rss/press-releases.xml,26,CA,0,61,RepBecerra,http://becerra.house.gov,89.47,,XavierBecerra
